Tract,neighborhood,Labor Force,Unemployed,Employed,Family Poverty,No HS,Some HS,HS Graduates,Bachelors Degree,Grad/Prof Degree,Private Health Ins,Public Health Ins,No Health Ins,No Vehicles,One Vehicle,Two Vehicles,Three+ Vehicles,Drive Alone,Carpooled,Walked,Other means,WFH,Public Transit,Total Population,Male,Female,Census Tract Number,Life Expectancy,Life Expectancy Standard Error,NAME10,Life Expectancy_abvavg,Life_Expectancy_Difference,Unemployed_cat_10-15%,Unemployed_cat_15-20%,Unemployed_cat_20-25%,Unemployed_cat_25 or more,Unemployed_cat_5-10%,Unemployed_cat_less than 5%,sex_cat_More Men,sex_cat_More Women,vehicle_cat_No Vehicles,vehicle_cat_One Vehicle,vehicle_cat_Three+ Vehicles,vehicle_cat_Two Vehicles,transport_cat_Carpooled,transport_cat_Drive Alone,transport_cat_Public Transit,transport_cat_Walked,education_cat_Bachelors Degree,education_cat_Grad/Prof Degree,education_cat_HS Graduates,education_cat_No HS,education_cat_Some HS,health_ins_cat_No Health Ins,health_ins_cat_Private Health Ins,health_ins_cat_Public Health Ins,area_Central,area_Far North Side,area_Far South Side,area_Far Southwest Side,area_North Side,area_Northwest Side,area_South Side,area_Southwest Side,area_West Side
380500.0,GRAND BOULEVARD,375.0,17.0,39.8,53.0,4.8,20.9,30.0,7.8,2.9,24.1,67.9,10.6,33.6,53.1,13.4,0.0,63.2,3.1,0.0,0.9,4.4,28.5,837.0,37.4,62.6,3805.0,69.7,3.1687666666666665,3805.0,0,-7.059305729820167,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
381400.0,GRAND BOULEVARD,953.0,20.1,51.0,36.7,3.1,13.8,26.7,6.3,6.0,35.8,31.7,33.8,34.4,52.2,10.0,3.4,30.5,11.2,6.3,0.0,0.0,52.0,1755.0,43.8,56.2,3814.0,71.93333333333334,2.489166666666667,3814.0,0,-4.825972396486833,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
381800.0,GRAND BOULEVARD,628.0,11.4,53.2,35.6,10.1,9.7,21.8,11.8,12.2,51.9,34.4,26.0,52.4,33.0,11.7,2.9,53.9,1.0,1.4,5.7,3.3,34.8,1240.0,42.5,57.5,3818.0,70.2,2.8473,3818.0,0,-6.559305729820167,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
390500.0,KENWOOD,827.0,4.2,64.2,6.9,4.9,4.2,13.5,23.5,38.6,71.3,21.8,11.5,25.4,48.0,18.7,7.9,47.3,3.3,5.4,6.6,8.7,28.8,1465.0,52.6,47.4,3905.0,79.03333333333335,2.682166666666667,3905.0,1,2.2740276035131757,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
390700.0,KENWOOD,2841.0,8.0,45.1,4.0,0.5,1.4,6.1,28.9,44.6,85.4,23.0,7.1,34.0,50.5,12.7,2.7,37.9,2.7,4.1,2.4,7.9,45.0,5764.0,50.2,49.8,3907.0,82.0,1.6812,3907.0,1,5.24069427017983,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
410500.0,HYDE PARK,1507.0,11.4,56.2,17.0,0.0,4.2,11.9,20.1,44.0,66.9,24.1,14.1,28.1,56.3,15.6,0.0,35.1,3.8,17.3,7.9,3.0,32.9,2609.0,47.4,52.6,4105.0,78.5,2.2898,4105.0,1,1.74069427017983,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
411200.0,HYDE PARK,943.0,2.1,64.5,7.9,0.4,2.8,2.0,16.9,71.0,90.3,17.3,4.7,22.5,55.4,20.4,1.7,26.0,4.8,43.9,2.4,12.8,10.1,1675.0,47.1,52.9,4112.0,83.5,2.4237,4112.0,1,6.74069427017983,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
420700.0,WOODLAWN,1148.0,14.7,29.5,44.6,4.6,20.5,30.5,4.5,5.8,29.4,64.8,15.5,50.4,37.7,10.6,1.3,36.2,11.9,3.5,7.5,4.8,36.1,3505.0,47.6,52.4,4207.0,72.7,1.7658,4207.0,0,-4.059305729820167,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
450300.0,AVALON PARK,1779.0,14.9,41.0,13.2,2.4,9.6,21.1,13.0,9.5,53.9,45.5,17.5,19.6,39.8,31.1,9.5,63.9,8.5,0.0,3.0,7.4,17.2,3825.0,41.7,58.3,4503.0,75.1,0.8747,4503.0,0,-1.6593057298201757,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
500300.0,PULLMAN,809.0,9.5,57.6,17.5,12.8,7.7,25.1,16.0,11.1,52.8,34.2,21.4,23.7,57.1,17.1,2.1,54.7,8.6,3.5,0.0,0.7,32.4,1422.0,45.1,54.9,5003.0,74.6,1.9631,5003.0,0,-2.1593057298201757,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
